date,Total,Recovered,Deceased
1/30/20,1,0,0
1/31/20,1,0,0
2/1/20,2,0,0
2/2/20,3,0,0
2/3/20,3,0,0
2/4/20,3,0,0
2/5/20,3,0,0
2/6/20,3,0,0
2/7/20,3,0,0
2/8/20,3,0,0
2/9/20,3,0,0
2/10/20,3,0,0
2/11/20,3,0,0
2/12/20,3,0,0
2/13/20,3,0,0
2/14/20,3,0,0
2/15/20,3,0,0
2/16/20,3,0,0
2/17/20,3,0,0
2/18/20,3,0,0
2/19/20,3,0,0
2/20/20,3,0,0
2/21/20,3,0,0
2/22/20,3,0,0
2/23/20,3,0,0
2/24/20,3,0,0
2/25/20,3,0,0
2/26/20,3,0,0
2/27/20,3,0,0
2/28/20,3,0,0
2/29/20,3,0,0
3/1/20,3,0,0
3/2/20,5,0,0
3/3/20,6,3,0
3/4/20,28,3,0
3/5/20,30,3,0
3/6/20,31,3,0
3/7/20,34,3,0
3/8/20,39,3,0
3/9/20,46,3,0
3/10/20,58,3,0
3/11/20,60,3,0
3/12/20,74,3,0
3/13/20,81,3,1
3/14/20,84,10,2
3/15/20,110,13,2
3/16/20,114,13,2
3/17/20,137,14,3
3/18/20,151,14,3
3/19/20,173,20,4
3/20/20,223,23,4
3/21/20,283,23,4
3/22/20,360,24,7
3/23/20,434,35,9
3/24/20,521,40,10
3/25/20,606,43,10
3/26/20,724,45,16
3/27/20,724,67,17
3/28/20,909,80,19
3/29/20,1024,96,27
3/30/20,1251,102,31
3/31/20,1397,124,35
4/2/20,2069,156,53
