Sno,Date,State/UnionTerritory,ConfirmedIndianNational,Cured,Deaths,ConfirmedForeignNational
1,30/01/20,Kerala,1,0,0,0
2,31/01/20,Kerala,1,0,0,0
3,1/2/20,Kerala,2,0,0,0
4,2/2/20,Kerala,3,0,0,0
5,3/2/20,Kerala,3,0,0,0
6,4/2/20,Kerala,3,0,0,0
7,5/2/20,Kerala,3,0,0,0
8,6/2/20,Kerala,3,0,0,0
9,7/2/20,Kerala,3,0,0,0
10,8/2/20,Kerala,3,0,0,0
11,9/2/20,Kerala,3,0,0,0
12,10/2/20,Kerala,3,0,0,0
13,11/2/20,Kerala,3,0,0,0
14,12/2/20,Kerala,3,0,0,0
15,13/02/20,Kerala,3,0,0,0
16,14/02/20,Kerala,3,0,0,0
17,15/02/20,Kerala,3,0,0,0
18,16/02/20,Kerala,3,0,0,0
19,17/02/20,Kerala,3,0,0,0
20,18/02/20,Kerala,3,0,0,0
21,19/02/20,Kerala,3,0,0,0
22,20/02/20,Kerala,3,0,0,0
23,21/02/20,Kerala,3,0,0,0
24,22/02/20,Kerala,3,0,0,0
25,23/02/20,Kerala,3,0,0,0
26,24/02/20,Kerala,3,0,0,0
27,25/02/20,Kerala,3,0,0,0
28,26/02/20,Kerala,3,0,0,0
29,27/02/20,Kerala,3,0,0,0
30,28/02/20,Kerala,3,0,0,0
31,29/02/20,Kerala,3,0,0,0
32,1/3/20,Kerala,3,0,0,0
33,2/3/20,Telengana,1,0,0,0
34,2/3/20,Kerala,3,0,0,0
35,2/3/20,Delhi,1,0,0,0
36,3/3/20,Telengana,1,0,0,0
37,3/3/20,Rajasthan,0,0,0,1
38,3/3/20,Kerala,3,3,0,0
39,3/3/20,Delhi,1,0,0,0
40,4/3/20,Uttar Pradesh,6,0,0,0
41,4/3/20,Kerala,3,3,0,0
42,4/3/20,Haryana,0,0,0,2
43,4/3/20,Delhi,1,0,0,0
44,4/3/20,Telengana,1,0,0,0
45,4/3/20,Rajasthan,1,0,0,14
46,5/3/20,Delhi,2,0,0,0
47,5/3/20,Haryana,0,0,0,2
48,5/3/20,Kerala,3,3,0,0
49,5/3/20,Rajasthan,1,0,0,14
50,5/3/20,Telengana,1,0,0,0
51,5/3/20,Uttar Pradesh,7,0,0,0
52,6/3/20,Delhi,3,0,0,0
53,6/3/20,Haryana,0,0,0,2
54,6/3/20,Kerala,3,3,0,0
55,6/3/20,Rajasthan,1,0,0,14
56,6/3/20,Uttar Pradesh,7,0,0,0
57,6/3/20,Telengana,1,0,0,0
58,7/3/20,Kerala,3,3,0,0
59,7/3/20,Uttar Pradesh,7,0,0,0
60,7/3/20,Ladakh,2,0,0,0
61,7/3/20,Telengana,1,0,0,0
62,7/3/20,Tamil Nadu,1,0,0,0
63,7/3/20,Delhi,3,0,0,0
64,7/3/20,Haryana,0,0,0,2
65,7/3/20,Rajasthan,1,0,0,14
66,8/3/20,Ladakh,2,0,0,0
67,8/3/20,Telengana,1,0,0,0
68,8/3/20,Tamil Nadu,1,0,0,0
69,8/3/20,Rajasthan,1,0,0,14
70,8/3/20,Kerala,8,3,0,0
71,8/3/20,Haryana,0,0,0,2
72,8/3/20,Delhi,3,0,0,0
73,8/3/20,Uttar Pradesh,7,0,0,0
74,9/3/20,Ladakh,2,0,0,0
75,9/3/20,Karnataka,1,0,0,0
76,9/3/20,Kerala,9,3,0,0
77,9/3/20,Maharashtra,2,0,0,0
78,9/3/20,Punjab,1,0,0,0
79,9/3/20,Rajasthan,1,0,0,14
80,9/3/20,Tamil Nadu,1,0,0,0
81,9/3/20,Telengana,1,0,0,0
